category;validScientificNameId;validScientificName;preferredPopularName;taxonGroupName;collector;dateTimeCollected;locality;coordinateUncertaintyInMeters;municipality;county;individualCount;basisOfRecord;latitude;longitude;geometry;scientificNameRank;behavior;notes;sex
NT;3799;Tringa totanus;rødstilk;Fugler;Stig  Rasmussen;02.08.2018 00:00:00;Jægtbogen - Sandstrand, Sortland, No;400.0;Sortland;Nordland;1;HumanObservasjon;68,745363;15,361434;POINT (514622 7626012);species;;Validationstatus: Approved Documented;
LC;4164;Corvus cornix;kråke;Fugler;Stig  Rasmussen;12.10.2018 00:00:00;Jægtbogen - Sandstrand, Sortland, No;400.0;Sortland;Nordland;4;HumanObservasjon;68,745363;15,361434;POINT (514622 7626012);species;feeding;innmark Activity: Forage. Validationstatus: Approved Documented;
NT;3664;Haematopus ostralegus;tjeld;Fugler;;20.06.1960 00:00:00;SANDSTRAND;5000.0;Sortland;Nordland;1;HumanObservasjon;68,75;15,35;POINT (514157 7626527);species;possiblereproductive;;Unknown
LC;3694;Larus marinus;svartbak;Fugler;Stig  Rasmussen;31.03.2019 00:00:00;Jægtbogen - Sandstrand, Sortland, No;400.0;Sortland;Nordland;3;HumanObservasjon;68,745363;15,361434;POINT (514622 7626012);species;;Validationstatus: Approved Documented;
EN;3773;Numenius arquata;storspove;Fugler;Stig  Rasmussen;27.04.2019 00:00:00;Jægtbogen - Sandstrand, Sortland, No;400.0;Sortland;Nordland;1;HumanObservasjon;68,745363;15,361434;POINT (514622 7626012);species;feeding;Activity: Forage. Validationstatus: Approved Documented;
LC;4332;Motacilla alba;linerle;Fugler;Stig  Rasmussen;28.04.2019 00:00:00;Jægtbogen - Sandstrand, Sortland, No;400.0;Sortland;Nordland;1;HumanObservasjon;68,745363;15,361434;POINT (514622 7626012);species;;Validationstatus: Approved Documented;
LC;3499;Branta leucopsis;hvitkinngås;Fugler;Stig  Rasmussen;02.05.2019 00:00:00;Jægtbogen - Sandstrand, Sortland, No;400.0;Sortland;Nordland;150;HumanObservasjon;68,745363;15,361434;POINT (514622 7626012);species;feeding;min. Activity: Forage. Validationstatus: Approved Documented;
;3473;Anser brachyrhynchus;kortnebbgås;Fugler;Stig  Rasmussen;02.05.2019 00:00:00;Jægtbogen - Sandstrand, Sortland, No;400.0;Sortland;Nordland;20;HumanObservasjon;68,745363;15,361434;POINT (514622 7626012);species;feeding;Activity: Forage. Validationstatus: Approved Documented;
LC;3499;Branta leucopsis;hvitkinngås;Fugler;Stig  Rasmussen;11.05.2019 00:00:00;Jægtbogen - Sandstrand, Sortland, No;400.0;Sortland;Nordland;500;HumanObservasjon;68,745363;15,361434;POINT (514622 7626012);species;feeding;anslag. en leukistisk  Activity: Forage. Validationstatus: Approved Media;
LC;3499;Branta leucopsis;hvitkinngås;Fugler;Stig  Rasmussen;11.05.2019 00:00:00;Jennestadosen, Sortland, No;150.0;Sortland;Nordland;180;HumanObservasjon;68,747724;15,322384;POINT (513041 7626267);species;feeding;ca Activity: Forage. Validationstatus: Approved Documented;
VU;3681;Larus canus;fiskemåke;Fugler;Stig  Rasmussen;13.05.2019 00:00:00;Bygdneset, Sortland, No;300.0;Sortland;Nordland;2;HumanObservasjon;68,730521;15,404823;POINT (516388 7624368);species;reproductive;Activity: BroodOnEggs. Validationstatus: Approved Documented;
LC;3454;Anas crecca;krikkand;Fugler;Stig  Rasmussen;13.05.2019 00:00:00;Bygdneset, Sortland, No;300.0;Sortland;Nordland;2;HumanObservasjon;68,730521;15,404823;POINT (516388 7624368);species;feeding;Activity: Forage. Validationstatus: Approved Documented;in pair
LC;3525;Mergus serrator;siland;Fugler;Stig  Rasmussen;17.07.2019 00:00:00;Bygdneset, Sortland, No;300.0;Sortland;Nordland;1;HumanObservasjon;68,730521;15,404823;POINT (516388 7624368);species;;Validationstatus: Approved Documented;female
NT;3664;Haematopus ostralegus;tjeld;Fugler;Stig  Rasmussen;17.07.2019 00:00:00;Bygdneset, Sortland, No;300.0;Sortland;Nordland;4;HumanObservasjon;68,730521;15,404823;POINT (516388 7624368);species;;Validationstatus: Approved Documented;
