category;validScientificNameId;validScientificName;preferredPopularName;taxonGroupName;collector;dateTimeCollected;locality;coordinateUncertaintyInMeters;municipality;county;individualCount;basisOfRecord;latitude;longitude;geometry;scientificNameRank;behavior;notes;sex;Ansvarsarter;Trua arter;Andre spesielt hensynskrevende arter;Spesielle okologiske former;Prioriterte arter;Fredete arter;NT;Fremmede arter;Kingdom;Phylum;Class;Order;Family;Genus;FamilieNavn;OrdenNavn
LC;3559;Ardea cinerea;gråhegre;Fugler;Stig  Rasmussen;17.04.2021 00:00:00;Bygdneset, Sortland, No;300.0;Sortland;Nordland;1;HumanObservasjon;68,730521;15,404823;POINT (516388 7624368);species;feeding;Activity: Forage. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Pelecaniformes;Ardeidae;Ardea;hegrefamilien;pelikan- og hegrefugler
VU;3681;Larus canus;fiskemåke;Fugler;Stig  Rasmussen;17.04.2021 00:00:00;Bygdneset, Sortland, No;300.0;Sortland;Nordland;6;HumanObservasjon;68,730521;15,404823;POINT (516388 7624368);species;stationary;Activity: Resting. Validationstatus: Approved Documented;;No;Yes;No;No;No;No;No;No;Animalia;Chordata;Aves;Charadriiformes;Laridae;Larus;måkefamilien;vade-, måke- og alkefugler
VU;3681;Larus canus;fiskemåke;Fugler;Stig  Rasmussen;20.04.2021 00:00:00;Jennestadosen, Sortland, No;150.0;Sortland;Nordland;2;HumanObservasjon;68,747724;15,322384;POINT (513041 7626267);species;stationary;Activity: Resting. Validationstatus: Approved Documented;;No;Yes;No;No;No;No;No;No;Animalia;Chordata;Aves;Charadriiformes;Laridae;Larus;måkefamilien;vade-, måke- og alkefugler
NT;3664;Haematopus ostralegus;tjeld;Fugler;Stig  Rasmussen;20.04.2021 00:00:00;Bygdneset, Sortland, No;300.0;Sortland;Nordland;3;HumanObservasjon;68,730521;15,404823;POINT (516388 7624368);species;stationary;Activity: Resting. Validationstatus: Approved Documented;;No;No;No;No;No;No;Yes;No;Animalia;Chordata;Aves;Charadriiformes;Haematopodidae;Haematopus;tjeldfamilien;vade-, måke- og alkefugler
LC;3471;Anser anser;grågås;Fugler;Stig  Rasmussen;20.04.2021 00:00:00;Jægtbogen - Sandstrand, Sortland, No;400.0;Sortland;Nordland;12;HumanObservasjon;68,745363;15,361434;POINT (514622 7626012);species;feeding;Activity: Forage. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Anser;andefamilien;andefugler
LC;3461;Anas platyrhynchos;stokkand;Fugler;Stig  Rasmussen;20.04.2021 00:00:00;Jægtbogen - Sandstrand, Sortland, No;400.0;Sortland;Nordland;3;HumanObservasjon;68,745363;15,361434;POINT (514622 7626012);species;feeding;Activity: Forage. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Anas;andefamilien;andefugler
NT;4426;Sturnus vulgaris;stær;Fugler;Stig  Rasmussen;20.04.2021 00:00:00;Bygdneset, Sortland, No;300.0;Sortland;Nordland;1;HumanObservasjon;68,730521;15,404823;POINT (516388 7624368);species;stationary;Activity: Resting. Validationstatus: Approved Documented;;No;No;No;No;No;No;Yes;No;Animalia;Chordata;Aves;Passeriformes;Sturnidae;Sturnus;stærfamilien;spurvefugler
NT;4426;Sturnus vulgaris;stær;Fugler;Stig  Rasmussen;28.04.2021 00:00:00;Bygdneset, Sortland, No;300.0;Sortland;Nordland;7;HumanObservasjon;68,730521;15,404823;POINT (516388 7624368);species;feeding;Activity: Forage. Validationstatus: Approved Documented;;No;No;No;No;No;No;Yes;No;Animalia;Chordata;Aves;Passeriformes;Sturnidae;Sturnus;stærfamilien;spurvefugler
LC;3471;Anser anser;grågås;Fugler;Inge Hovden;05.05.2021 00:00:00;Sandstrand, Sortland, No;250.0;Sortland;Nordland;11;HumanObservasjon;68,746112;15,354095;POINT (514325 7626094);species;feeding;Activity: Forage. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Anser;andefamilien;andefugler
VU;3681;Larus canus;fiskemåke;Fugler;Stig  Rasmussen;06.06.2021 00:00:00;Bygdneset, Sortland, No;300.0;Sortland;Nordland;3;HumanObservasjon;68,730521;15,404823;POINT (516388 7624368);species;possiblereproductive;Utfall mot kråke Activity: AgitatedBehaviour. Validationstatus: Approved Documented;;No;Yes;No;No;No;No;No;No;Animalia;Chordata;Aves;Charadriiformes;Laridae;Larus;måkefamilien;vade-, måke- og alkefugler
LC;3461;Anas platyrhynchos;stokkand;Fugler;Stig  Rasmussen;25.07.2021 00:00:00;Bygdneset, Sortland, No;300.0;Sortland;Nordland;3;HumanObservasjon;68,730521;15,404823;POINT (516388 7624368);species;reproductive;Activity: RecentlyFledgedYoung. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Anas;andefamilien;andefugler
LC;3499;Branta leucopsis;hvitkinngås;Fugler;Ingunn Tombre|Johnny Bakken;14.05.2021 00:00:00;SelnesÅnstadBygd, Sortland, No;500.0;Sortland;Nordland;434;HumanObservasjon;68,730749;15,405083;POINT (516399 7624394);species;;Systematiske registreringer, NINA (MIGRAPOP-prosjektet). Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Branta;andefamilien;andefugler
;3473;Anser brachyrhynchus;kortnebbgås;Fugler;Ingunn Tombre|Johnny Bakken;17.05.2021 00:00:00;SelnesÅnstadBygd, Sortland, No;500.0;Sortland;Nordland;252;HumanObservasjon;68,730749;15,405083;POINT (516399 7624394);species;;Systematiske registreringer, NINA (MIGRAPOP-prosjektet). Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Anser;andefamilien;andefugler
LC;3499;Branta leucopsis;hvitkinngås;Fugler;Ingunn Tombre|Johnny Bakken;17.05.2021 00:00:00;SelnesÅnstadBygd, Sortland, No;500.0;Sortland;Nordland;360;HumanObservasjon;68,730749;15,405083;POINT (516399 7624394);species;;Systematiske registreringer, NINA (MIGRAPOP-prosjektet). Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Branta;andefamilien;andefugler
