category;validScientificNameId;validScientificName;preferredPopularName;taxonGroupName;collector;dateTimeCollected;locality;coordinateUncertaintyInMeters;municipality;county;individualCount;basisOfRecord;latitude;longitude;geometry;scientificNameRank;behavior;notes;sex;Ansvarsarter;Trua arter;Andre spesielt hensynskrevende arter;Spesielle okologiske former;Prioriterte arter;Fredete arter;NT;Fremmede arter;Kingdom;Phylum;Class;Order;Family;Genus;FamilieNavn;OrdenNavn
LC;3461;Anas platyrhynchos;stokkand;Fugler;Stig  Rasmussen;01.10.2020 00:00:00;Bygdneset, Sortland, No;300.0;Sortland;Nordland;4;HumanObservasjon;68,730521;15,404823;POINT (516388 7624368);species;feeding;Activity: Forage. Validationstatus: Approved Documented;male;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Anas;andefamilien;andefugler
LC;3525;Mergus serrator;siland;Fugler;Stig  Rasmussen;03.10.2020 00:00:00;Storlibukta, Sortland, No;300.0;Sortland;Nordland;3;HumanObservasjon;68,735617;15,393108;POINT (515911 7624934);species;feeding;Activity: Forage. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Mergus;andefamilien;andefugler
VU;3531;Somateria mollissima;ærfugl;Fugler;Stig  Rasmussen;17.01.2021 00:00:00;Jægtbogen - Sandstrand, Sortland, No;400.0;Sortland;Nordland;1;HumanObservasjon;68,745363;15,361434;POINT (514622 7626012);species;feeding;Activity: Forage. Validationstatus: Approved Documented;;No;Yes;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Somateria;andefamilien;andefugler
LC;3694;Larus marinus;svartbak;Fugler;Stig  Rasmussen;17.01.2021 00:00:00;Jægtbogen - Sandstrand, Sortland, No;400.0;Sortland;Nordland;1;HumanObservasjon;68,745363;15,361434;POINT (514622 7626012);species;moving;Activity: FlyingBy. Validationstatus: Approved Documented;;Yes;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Charadriiformes;Laridae;Larus;måkefamilien;vade-, måke- og alkefugler
LC;3510;Cygnus cygnus;sangsvane;Fugler;Inge Hovden;31.03.2021 00:00:00;Sandstrand, Sortland, No;250.0;Sortland;Nordland;3;HumanObservasjon;68,746112;15,354095;POINT (514325 7626094);species;;Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Cygnus;andefamilien;andefugler
VU;3531;Somateria mollissima;ærfugl;Fugler;Inge Hovden;31.03.2021 00:00:00;Sandstrand, Sortland, No;250.0;Sortland;Nordland;32;HumanObservasjon;68,746112;15,354095;POINT (514325 7626094);species;;Validationstatus: Approved Documented;;No;Yes;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Somateria;andefamilien;andefugler
LC;4164;Corvus cornix;kråke;Fugler;Stig  Rasmussen;08.04.2021 00:00:00;Jægtbogen - Sandstrand, Sortland, No;400.0;Sortland;Nordland;3;HumanObservasjon;68,745363;15,361434;POINT (514622 7626012);species;feeding;Activity: Forage. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Passeriformes;Corvidae;Corvus;kråkefamilien;spurvefugler
LC;3461;Anas platyrhynchos;stokkand;Fugler;Stig  Rasmussen;08.04.2021 00:00:00;Jægtbogen - Sandstrand, Sortland, No;400.0;Sortland;Nordland;2;HumanObservasjon;68,745363;15,361434;POINT (514622 7626012);species;feeding;Activity: Forage. Validationstatus: Approved Documented;in pair;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Anas;andefamilien;andefugler
LC;3510;Cygnus cygnus;sangsvane;Fugler;Stig  Rasmussen;08.04.2021 00:00:00;Jennestadosen, Sortland, No;150.0;Sortland;Nordland;2;HumanObservasjon;68,747724;15,322384;POINT (513041 7626267);species;feeding;Activity: Forage. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Cygnus;andefamilien;andefugler
NT;3664;Haematopus ostralegus;tjeld;Fugler;Stig  Rasmussen;17.04.2021 00:00:00;Bygdneset, Sortland, No;300.0;Sortland;Nordland;3;HumanObservasjon;68,730521;15,404823;POINT (516388 7624368);species;feeding;Activity: Forage. Validationstatus: Approved Documented;;No;No;No;No;No;No;Yes;No;Animalia;Chordata;Aves;Charadriiformes;Haematopodidae;Haematopus;tjeldfamilien;vade-, måke- og alkefugler
;3925;Gavia immer;islom;Fugler;Stig  Rasmussen;20.04.2021 00:00:00;Jennestadosen, Sortland, No;150.0;Sortland;Nordland;1;HumanObservasjon;68,747724;15,322384;POINT (513041 7626267);species;feeding;Activity: Forage. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Gaviiformes;Gaviidae;Gavia;lomfamilien;lomfugler
LC;3559;Ardea cinerea;gråhegre;Fugler;Stig  Rasmussen;20.04.2021 00:00:00;Bygdneset, Sortland, No;300.0;Sortland;Nordland;5;HumanObservasjon;68,730521;15,404823;POINT (516388 7624368);species;stationary;Activity: Resting. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Pelecaniformes;Ardeidae;Ardea;hegrefamilien;pelikan- og hegrefugler
LC;3471;Anser anser;grågås;Fugler;Stig  Rasmussen;24.04.2021 00:00:00;Bygdneset, Sortland, No;300.0;Sortland;Nordland;2;HumanObservasjon;68,730521;15,404823;POINT (516388 7624368);species;stationary;Activity: Resting. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Anser;andefamilien;andefugler
;3473;Anser brachyrhynchus;kortnebbgås;Fugler;Stig  Rasmussen;02.05.2021 00:00:00;Jægtbogen - Sandstrand, Sortland, No;400.0;Sortland;Nordland;6;HumanObservasjon;68,745363;15,361434;POINT (514622 7626012);species;feeding;Activity: Forage. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Anser;andefamilien;andefugler
LC;3461;Anas platyrhynchos;stokkand;Fugler;Stig  Rasmussen;02.05.2021 00:00:00;Bygdneset, Sortland, No;300.0;Sortland;Nordland;3;HumanObservasjon;68,730521;15,404823;POINT (516388 7624368);species;feeding;Activity: Forage. Validationstatus: Approved Documented;male;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Anas;andefamilien;andefugler
;3473;Anser brachyrhynchus;kortnebbgås;Fugler;Inge Hovden;06.05.2021 00:00:00;Sandstrand, Sortland, No;250.0;Sortland;Nordland;21;HumanObservasjon;68,746112;15,354095;POINT (514325 7626094);species;feeding;Activity: Forage. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Anser;andefamilien;andefugler
LC;3499;Branta leucopsis;hvitkinngås;Fugler;Inge Hovden;12.05.2021 00:00:00;Sandstrand, Sortland, No;250.0;Sortland;Nordland;360;HumanObservasjon;68,746112;15,354095;POINT (514325 7626094);species;feeding;Activity: Forage. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Branta;andefamilien;andefugler
LC;3471;Anser anser;grågås;Fugler;Stig  Rasmussen;02.06.2021 00:00:00;Jægtbogen - Sandstrand, Sortland, No;400.0;Sortland;Nordland;27;HumanObservasjon;68,745363;15,361434;POINT (514622 7626012);species;feeding;Activity: Forage. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Anser;andefamilien;andefugler
VU;3681;Larus canus;fiskemåke;Fugler;Stig  Rasmussen;06.06.2021 00:00:00;Bygdneset, Sortland, No;300.0;Sortland;Nordland;1;HumanObservasjon;68,730521;15,404823;POINT (516388 7624368);species;reproductive;Activity: BroodOnEggs. Validationstatus: Approved Documented;;No;Yes;No;No;No;No;No;No;Animalia;Chordata;Aves;Charadriiformes;Laridae;Larus;måkefamilien;vade-, måke- og alkefugler
NT;3607;Cepphus grylle;teist;Fugler;Stig  Rasmussen;06.11.2021 00:00:00;Jægtbogen - Sandstrand, Sortland, No;400.0;Sortland;Nordland;2;HumanObservasjon;68,745363;15,361434;POINT (514622 7626012);species;feeding;Activity: Forage. Validationstatus: Approved Documented;;No;No;No;No;No;No;Yes;No;Animalia;Chordata;Aves;Charadriiformes;Alcidae;Cepphus;alkefamilien;vade-, måke- og alkefugler
LC;3499;Branta leucopsis;hvitkinngås;Fugler;Ingunn Tombre|Johnny Bakken;11.05.2021 00:00:00;Sandstrand, Sortland, No;500.0;Sortland;Nordland;1550;HumanObservasjon;68,746301;15,348058;POINT (514081 7626114);species;;Systematiske registreringer, NINA (MIGRAPOP-prosjektet). Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Branta;andefamilien;andefugler
VU;3531;Somateria mollissima;ærfugl;Fugler;;01.01.2013 00:00:00;Jektbogen-Holten;707.0;Sortland;Nordland;0;MachineObservation;68,747184;15,347802;POINT (514070 7626212);species;;" NonValid dynamicProperties: ""{""FirstYearCount"":""1986"", ""LastYearCount"":""2007"", ""LastIndividualCount"":""0""}""";;No;Yes;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Somateria;andefamilien;andefugler
VU;3531;Somateria mollissima;ærfugl;Fugler;;01.01.2013 00:00:00;Verholmen;707.0;Sortland;Nordland;0;MachineObservation;68,7433;15,3953;POINT (515994 7625791);species;;" NonValid dynamicProperties: ""{""FirstYearCount"":""1988"", ""LastYearCount"":""2007"", ""LastIndividualCount"":""0""}""";;No;Yes;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Somateria;andefamilien;andefugler
LC;3840;Sterna paradisaea;rødnebbterne;Fugler;;01.01.2013 00:00:00;Verholmen;707.0;Sortland;Nordland;1;MachineObservation;68,746588;15,380334;POINT (515386 7626154);species;;" NonValid dynamicProperties: ""{""FirstYearCount"":""1986"", ""LastYearCount"":""2007"", ""LastIndividualCount"":""0""}""";;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Charadriiformes;Laridae;Sterna;måkefamilien;vade-, måke- og alkefugler
VU;3531;Somateria mollissima;ærfugl;Fugler;;01.01.2013 00:00:00;Verholmen;707.0;Sortland;Nordland;1;MachineObservation;68,746588;15,380334;POINT (515386 7626154);species;;" NonValid dynamicProperties: ""{""FirstYearCount"":""1992"", ""LastYearCount"":""2007"", ""LastIndividualCount"":""0""}""";;No;Yes;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Somateria;andefamilien;andefugler
LC;3523;Mergus merganser;laksand;Fugler;Jan Olav Nybo|Ken Adelsten Jensen;07.09.2023 00:00:00;Jennestadosen, Jennestad, Sortland, No;50.0;Sortland;Nordland;16;HumanObservasjon;68,747522;15,322438;POINT (513043 7626244);species;feeding;Activity: Forage. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Mergus;andefamilien;andefugler
;3473;Anser brachyrhynchus;kortnebbgås;Fugler;Ingunn Tombre|Johnny Bakken;14.05.2023 00:00:00;SelnesÅnstadBygd, Sortland, No;500.0;Sortland;Nordland;86;HumanObservasjon;68,730749;15,405083;POINT (516399 7624394);species;;Systematisk registering, MIGRAPOP-prosjektet. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Anser;andefamilien;andefugler
;3473;Anser brachyrhynchus;kortnebbgås;Fugler;Ingunn Tombre|Johnny Bakken;10.05.2023 00:00:00;Sandstrand, Sortland, No;500.0;Sortland;Nordland;92;HumanObservasjon;68,746301;15,348058;POINT (514081 7626114);species;;Systematisk registering, MIGRAPOP-prosjektet. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Anser;andefamilien;andefugler
LC;3499;Branta leucopsis;hvitkinngås;Fugler;Ingunn Tombre|Johnny Bakken;10.05.2023 00:00:00;SelnesÅnstadBygd, Sortland, No;500.0;Sortland;Nordland;62;HumanObservasjon;68,730749;15,405083;POINT (516399 7624394);species;;Systematisk registering, MIGRAPOP-prosjektet. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Branta;andefamilien;andefugler
LC;3499;Branta leucopsis;hvitkinngås;Fugler;Ingunn Tombre|Johnny Bakken;16.05.2023 00:00:00;Sandstrand, Sortland, No;500.0;Sortland;Nordland;650;HumanObservasjon;68,746301;15,348058;POINT (514081 7626114);species;;Systematisk registering, MIGRAPOP-prosjektet. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Branta;andefamilien;andefugler
LC;3499;Branta leucopsis;hvitkinngås;Fugler;Ingunn Tombre|Johnny Bakken;21.05.2023 00:00:00;Sandstrand, Sortland, No;500.0;Sortland;Nordland;110;HumanObservasjon;68,746301;15,348058;POINT (514081 7626114);species;;Systematisk registering, MIGRAPOP-prosjektet. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Branta;andefamilien;andefugler
LC;4183;Pica pica;skjære;Fugler;Ørnulf Nielsen;28.01.2018 00:00:00;Jægtbogen;;Sortland;Nordland;5;HumanObservasjon;68,742076;15,374473;POINT (515152 7625649);species;;;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Passeriformes;Corvidae;Pica;kråkefamilien;spurvefugler
LC;4372;Parus major;kjøttmeis;Fugler;Ørnulf Nielsen;30.01.2022 00:00:00;Jægtbogen;;Sortland;Nordland;4;HumanObservasjon;68,742076;15,374473;POINT (515152 7625649);species;;;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Passeriformes;Paridae;Parus;meisefamilien;spurvefugler
LC;3525;Mergus serrator;siland;Fugler;Stig  Rasmussen;02.02.2025 00:00:00;Jægtbogen - Sandstrand, Sortland, No;400.0;Sortland;Nordland;17;HumanObservasjon;68,745363;15,361434;POINT (514622 7626012);species;feeding;Activity: Forage.;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Mergus;andefamilien;andefugler
NT;3664;Haematopus ostralegus;tjeld;Fugler;Johnny Bakken;03.04.2025 00:00:00;Sandstrand, Sortland, Sortland, No;400.0;Sortland;Nordland;5;HumanObservasjon;68,745291;15,346567;POINT (514021 7626001);species;feeding;Activity: Forage.;;No;No;No;No;No;No;Yes;No;Animalia;Chordata;Aves;Charadriiformes;Haematopodidae;Haematopus;tjeldfamilien;vade-, måke- og alkefugler
LC;3471;Anser anser;grågås;Fugler;obsr356533;05.06.2021 00:00:00;542 Vesterålsveien, Nordland, NO (68.746, 15.343);;Sortland;Nordland;4;HumanObservasjon;68,7462;15,342615;POINT (513860 7626101);species;;http://www.gbif.org/occurrence/3627281334;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Anser;andefamilien;andefugler
;3473;Anser brachyrhynchus;kortnebbgås;Fugler;Tone M. Bjørstad;27.04.2008 00:00:00;Sortlandsundet;;Sortland;Nordland;1;HumanObservasjon;68,745204;15,332233;POINT (513441 7625988);species;;;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Anser;andefamilien;andefugler
NT;3776;Numenius phaeopus;småspove;Fugler;Tone M. Bjørstad;09.04.2009 00:00:00;Sortlandsundet;;Sortland;Nordland;1;HumanObservasjon;68,745204;15,332233;POINT (513441 7625988);species;;;;No;No;No;No;No;No;Yes;No;Animalia;Chordata;Aves;Charadriiformes;Scolopacidae;Numenius;snipefamilien;vade-, måke- og alkefugler
;3473;Anser brachyrhynchus;kortnebbgås;Fugler;Tone M. Bjørstad;26.04.2009 00:00:00;Sortlandsundet;;Sortland;Nordland;1;HumanObservasjon;68,745204;15,332233;POINT (513441 7625988);species;;;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Anser;andefamilien;andefugler
LC;4277;Hirundo rustica;låvesvale;Fugler;Tone M. Bjørstad;24.05.2009 00:00:00;Sortlandsundet;;Sortland;Nordland;1;HumanObservasjon;68,745204;15,332233;POINT (513441 7625988);species;;;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Passeriformes;Hirundinidae;Hirundo;svalefamilien;spurvefugler
EN;3773;Numenius arquata;storspove;Fugler;Tone M. Bjørstad;05.04.2010 00:00:00;Sortlandsundet;;Sortland;Nordland;1;HumanObservasjon;68,745204;15,332233;POINT (513441 7625988);species;;;;No;Yes;No;No;No;No;No;No;Animalia;Chordata;Aves;Charadriiformes;Scolopacidae;Numenius;snipefamilien;vade-, måke- og alkefugler
;3473;Anser brachyrhynchus;kortnebbgås;Fugler;Tone M. Bjørstad;09.05.2010 00:00:00;Sortlandsundet;;Sortland;Nordland;1;HumanObservasjon;68,745204;15,332233;POINT (513441 7625988);species;;;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Anser;andefamilien;andefugler
LC;4332;Motacilla alba;linerle;Fugler;obsr1422151;07.07.2022 00:00:00;Nordland, NO (68.75, 15.348);;Sortland;Nordland;2;HumanObservasjon;68,75015;15,348347;POINT (514090 7626543);species;;http://www.gbif.org/occurrence/4397130871;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Passeriformes;Motacillidae;Motacilla;erlefamilien;spurvefugler
LC;3471;Anser anser;grågås;Fugler;obsr1994371;18.06.2023 00:00:00;Vesterålsveien 399, Sortland NO-18 68.74272, 15.37455;;Sortland;Nordland;20;HumanObservasjon;68,74272;15,374546;POINT (515155 7625721);species;;http://www.gbif.org/occurrence/4621424757;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Anser;andefamilien;andefugler
LC;3719;Actitis hypoleucos;strandsnipe;Fugler;;15.06.1981 00:00:00;Sortland kommune;707.0;Sortland;Nordland;1;HumanObservasjon;68,7407;15,3831;POINT (515502 7625498);species;;;not recorded;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Charadriiformes;Scolopacidae;Actitis;snipefamilien;vade-, måke- og alkefugler
LC;3745;Calidris maritima;fjæreplytt;Fugler;;15.06.1985 00:00:00;Sortland kommune;707.0;Sortland;Nordland;1;HumanObservasjon;68,7407;15,3831;POINT (515502 7625498);species;;;not recorded;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Charadriiformes;Scolopacidae;Calidris;snipefamilien;vade-, måke- og alkefugler
LC;184055;Oenanthe oenanthe;steinskvett;Fugler;;15.06.1981 00:00:00;Sortland kommune;707.0;Sortland;Nordland;1;HumanObservasjon;68,7407;15,3831;POINT (515502 7625498);species;;;not recorded;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Passeriformes;Muscicapidae;Oenanthe;fluesnapperfamilien;spurvefugler
LC;4183;Pica pica;skjære;Fugler;;15.06.1985 00:00:00;Sortland kommune;707.0;Sortland;Nordland;1;HumanObservasjon;68,7407;15,3831;POINT (515502 7625498);species;;;not recorded;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Passeriformes;Corvidae;Pica;kråkefamilien;spurvefugler
LC;4559;Turdus pilaris;gråtrost;Fugler;;15.06.1985 00:00:00;Sortland kommune;707.0;Sortland;Nordland;1;HumanObservasjon;68,7407;15,3831;POINT (515502 7625498);species;;;not recorded;Yes;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Passeriformes;Turdidae;Turdus;trostefamilien;spurvefugler
LC;4406;Prunella modularis;jernspurv;Fugler;;15.06.1981 00:00:00;Sortland kommune;707.0;Sortland;Nordland;1;HumanObservasjon;68,7407;15,3831;POINT (515502 7625498);species;;;not recorded;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Passeriformes;Prunellidae;Prunella;jernspurvfamilien;spurvefugler
LC;4557;Turdus philomelos;måltrost;Fugler;;15.06.1985 00:00:00;Sortland kommune;707.0;Sortland;Nordland;1;HumanObservasjon;68,7407;15,3831;POINT (515502 7625498);species;;;not recorded;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Passeriformes;Turdidae;Turdus;trostefamilien;spurvefugler
LC;4332;Motacilla alba;linerle;Fugler;;15.06.1985 00:00:00;Sortland kommune;707.0;Sortland;Nordland;1;HumanObservasjon;68,7407;15,3831;POINT (515502 7625498);species;;;not recorded;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Passeriformes;Motacillidae;Motacilla;erlefamilien;spurvefugler
VU;4382;Poecile montanus;granmeis;Fugler;;15.06.1985 00:00:00;Sortland kommune;707.0;Sortland;Nordland;1;HumanObservasjon;68,7407;15,3831;POINT (515502 7625498);species;;;not recorded;No;Yes;No;No;No;No;No;No;Animalia;Chordata;Aves;Passeriformes;Paridae;Poecile;meisefamilien;spurvefugler
VU;156989;Calidris pugnax;brushane;Fugler;;15.06.1985 00:00:00;Sortland kommune;707.0;Sortland;Nordland;1;HumanObservasjon;68,7407;15,3831;POINT (515502 7625498);species;;;not recorded;No;Yes;No;No;No;No;No;No;Animalia;Chordata;Aves;Charadriiformes;Scolopacidae;Calidris;snipefamilien;vade-, måke- og alkefugler
LC;3732;Calidris alpina;myrsnipe;Fugler;;15.06.1985 00:00:00;Sortland kommune;707.0;Sortland;Nordland;1;HumanObservasjon;68,7407;15,3831;POINT (515502 7625498);species;;;not recorded;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Charadriiformes;Scolopacidae;Calidris;snipefamilien;vade-, måke- og alkefugler
NT;4397;Passer domesticus;gråspurv;Fugler;;15.06.1985 00:00:00;Sortland kommune;707.0;Sortland;Nordland;1;HumanObservasjon;68,7407;15,3831;POINT (515502 7625498);species;;;not recorded;No;No;No;No;No;No;Yes;No;Animalia;Chordata;Aves;Passeriformes;Passeridae;Passer;spurvefamilien;spurvefugler
LC;4507;Erithacus rubecula;rødstrupe;Fugler;;15.06.1985 00:00:00;Sortland kommune;707.0;Sortland;Nordland;1;HumanObservasjon;68,7407;15,3831;POINT (515502 7625498);species;;;not recorded;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Passeriformes;Turdidae;Erithacus;trostefamilien;spurvefugler
LC;4563;Turdus torquatus;ringtrost;Fugler;;15.06.1981 00:00:00;Sortland kommune;707.0;Sortland;Nordland;1;HumanObservasjon;68,7407;15,3831;POINT (515502 7625498);species;;;not recorded;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Passeriformes;Turdidae;Turdus;trostefamilien;spurvefugler
LC;204585;Mareca penelope;brunnakke;Fugler;;15.06.1985 00:00:00;Sortland kommune;707.0;Sortland;Nordland;1;HumanObservasjon;68,7407;15,3831;POINT (515502 7625498);species;;;not recorded;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Mareca;andefamilien;andefugler
CR;3654;Vanellus vanellus;vipe;Fugler;;15.06.1985 00:00:00;Sortland kommune;707.0;Sortland;Nordland;1;HumanObservasjon;68,7407;15,3831;POINT (515502 7625498);species;;;not recorded;No;Yes;No;No;No;No;No;No;Animalia;Chordata;Aves;Charadriiformes;Charadriidae;Vanellus;lofamilien;vade-, måke- og alkefugler
LC;4472;Phylloscopus trochilus;løvsanger;Fugler;;15.06.1985 00:00:00;Sortland kommune;707.0;Sortland;Nordland;1;HumanObservasjon;68,7407;15,3831;POINT (515502 7625498);species;;;not recorded;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Passeriformes;Phylloscopidae;Phylloscopus;bladsangerfamilien;spurvefugler
VU;3677;Larus argentatus;gråmåke;Fugler;;15.06.1985 00:00:00;Sortland kommune;707.0;Sortland;Nordland;1;HumanObservasjon;68,7407;15,3831;POINT (515502 7625498);species;;;not recorded;No;Yes;No;No;No;No;No;No;Animalia;Chordata;Aves;Charadriiformes;Laridae;Larus;måkefamilien;vade-, måke- og alkefugler
LC;4162;Corvus corax;ravn;Fugler;;15.06.1985 00:00:00;Sortland kommune;707.0;Sortland;Nordland;1;HumanObservasjon;68,7407;15,3831;POINT (515502 7625498);species;;;not recorded;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Passeriformes;Corvidae;Corvus;kråkefamilien;spurvefugler
NT;4040;Cuculus canorus;gjøk;Fugler;;15.06.1985 00:00:00;Sortland kommune;707.0;Sortland;Nordland;1;HumanObservasjon;68,7407;15,3831;POINT (515502 7625498);species;;;not recorded;No;No;No;No;No;No;Yes;No;Animalia;Chordata;Aves;Cuculiformes;Cuculidae;Cuculus;gjøkfamilien;gjøkfugler
VU;3681;Larus canus;fiskemåke;Fugler;;28.06.1986 00:00:00;JEKTBOGEN - HOLTEN;707.0;Sortland;Nordland;112;HumanObservasjon;68,7498;15,3338;POINT (513502 7626501);species;;;not recorded;No;Yes;No;No;No;No;No;No;Animalia;Chordata;Aves;Charadriiformes;Laridae;Larus;måkefamilien;vade-, måke- og alkefugler
VU;3681;Larus canus;fiskemåke;Fugler;;01.06.1991 00:00:00;JEKTBOGEN - HOLTEN;707.0;Sortland;Nordland;32;HumanObservasjon;68,7498;15,3338;POINT (513502 7626501);species;;;not recorded;No;Yes;No;No;No;No;No;No;Animalia;Chordata;Aves;Charadriiformes;Laridae;Larus;måkefamilien;vade-, måke- og alkefugler
HI;3495;Branta canadensis;kanadagås;Fugler;Espen Bergersen;27.04.2006 00:00:00;Breivika, Sortland, No;300.0;Sortland;Nordland;1;HumanObservasjon;68,748036;15,313958;POINT (512700 7626300);species;;;;No;No;No;No;No;No;No;Yes;Animalia;Chordata;Aves;Anseriformes;Anatidae;Branta;andefamilien;andefugler
LC;4604;Asio flammeus;jordugle;Fugler;Arild Espelien;12.05.2004 00:00:00;Sandstrand, Sortland, Sortland, No;400.0;Sortland;Nordland;1;HumanObservasjon;68,745291;15,346567;POINT (514021 7626001);species;feeding;Activity: Forage.;;Yes;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Strigiformes;Strigidae;Asio;uglefamilien;ugler
LC;3499;Branta leucopsis;hvitkinngås;Fugler;Karl-Birger Strann|Vigdis Frivoll;30.04.2009 00:00:00;Sandstrand, Sortland, Sortland, No;400.0;Sortland;Nordland;360;HumanObservasjon;68,745291;15,346567;POINT (514021 7626001);species;feeding;Activity: Forage.;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Branta;andefamilien;andefugler
LC;3856;Accipiter nisus;spurvehauk;Fugler;Karl-Birger Strann;05.04.2011 00:00:00;Bygdnes, Sortland, Sortland, No;200.0;Sortland;Nordland;1;HumanObservasjon;68,731906;15,401553;POINT (516255 7624522);species;feeding;Activity: Forage.;male;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Accipitriformes;Accipitridae;Accipiter;haukefamilien;haukefugler
LC;4162;Corvus corax;ravn;Fugler;Karl-Birger Strann;05.04.2011 00:00:00;Bygdnes, Sortland, Sortland, No;200.0;Sortland;Nordland;1;HumanObservasjon;68,731906;15,401553;POINT (516255 7624522);species;feeding;Activity: Forage.;;No;No;No;No;No;No;No;No;Animalia;Chordata;Aves;Passeriformes;Corvidae;Corvus;kråkefamilien;spurvefugler
VU;3516;Melanitta fusca;sjøorre;Fugler;Karl-Birger Strann;05.04.2011 00:00:00;Jektbogen, Sortland, Sortland, No;300.0;Sortland;Nordland;6;HumanObservasjon;68,742953;15,371297;POINT (515023 7625746);species;feeding;Activity: Forage.;;No;Yes;No;No;No;No;No;No;Animalia;Chordata;Aves;Anseriformes;Anatidae;Melanitta;andefamilien;andefugler
