category;validScientificNameId;validScientificName;preferredPopularName;taxonGroupName;collector;dateTimeCollected;locality;coordinateUncertaintyInMeters;municipality;county;individualCount;latitude;longitude;geometry;scientificNameRank;behavior;notes;sex;Ansvarsarter;Trua arter;Andre spesielt hensynskrevende arter;Spesielle okologiske former;Prioriterte arter;Fredete arter;NT;Fremmede arter;log_reason
LC;3754;Gallinago gallinago;enkeltbekkasin;Fugler;Anette Jensen;29.04.2009 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;1;69,307254;16,095034;POINT (543181 7689009);species;feeding;Activity: Forage.;;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;204585;Mareca penelope;brunnakke;Fugler;Jørn Helge Magnussen;11.07.2011 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;4;69,307254;16,095034;POINT (543181 7689009);species;reproductive;Activity: RecentlyFledgedYoung.;;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;204585;Mareca penelope;brunnakke;Fugler;Jørn Helge Magnussen|Oddvar Heggøy;21.07.2011 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;9;69,307254;16,095034;POINT (543181 7689009);species;;;;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;3461;Anas platyrhynchos;stokkand;Fugler;Bjørn Olav Tveit;08.06.2014 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;1;69,307254;16,095034;POINT (543181 7689009);species;;;;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;4557;Turdus philomelos;måltrost;Fugler;Stig  Rasmussen;24.05.2020 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;1;69,307178;16,095313;POINT (543192 7689001);species;possiblereproductive;Activity: Display/Song. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;3510;Cygnus cygnus;sangsvane;Fugler;Tor Olsen|John Stenersen|Steve Baines|Morten Tjemsland|Espen Sundet Nilsen|Trond Ove Stakkeland|Egil Ween|Stein Engebretsen|Bjørn Olav Tveit|Klaus Maløya Torland;30.07.2020 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;2;69,307254;16,095034;POINT (543181 7689009);species;reproductive;Activity: RecentlyFledgedYoung. Validationstatus: Approved Documented;in pair;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;3487;Aythya fuligula;toppand;Fugler;Håvar Hveding;31.07.2020 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;22;69,307254;16,095034;POINT (543181 7689009);species;;Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;3487;Aythya fuligula;toppand;Fugler;Oddvar Heggøy|Martin Eggen;12.07.2020 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;1;69,307254;16,095034;POINT (543181 7689009);species;reproductive;Activity: RecentlyFledgedYoung. Validationstatus: Approved Documented;female;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;3461;Anas platyrhynchos;stokkand;Fugler;Stig  Rasmussen;17.04.2021 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;3;69,307178;16,095313;POINT (543192 7689001);species;feeding;Activity: Forage. Validationstatus: Approved Documented;male;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
LC;3510;Cygnus cygnus;sangsvane;Fugler;Ole Lykke Henriksen;16.05.2021 00:00:00;Kleivvatnet, Andøy, No;300.0;Andøy;Nordland;2;69,307254;16,095034;POINT (543181 7689009);species;reproductive;Activity: BroodOnEggs. Validationstatus: Approved Documented;;No;No;No;No;No;No;No;No;Species/subspecies ID not found in Excel
