proxyId;institution;collection;category;validScientificNameId;validScientificName;validScientificNameAuthorship;preferredPopularName;taxonGroupName;collector;dateTimeCollected;locality;coordinateUncertaintyInMeters;municipality;county;individualCount;basisOfRecord;identifiedBy;validated;catalogNumber;latitude;longitude;east;north;geometry;scientificNameRank;behavior;unspontaneus;unsureIdentification;hasImage;absent;notRecovered;dateLastModified;dateLastIdentified;occurrenceId;datasetName;datasetId;notes;habitat;sex;collectingMethod;recordNumber;fieldNumber;measurementMethod;georeferenceRemarks;preparations;otherCatalogNumbers;relatedResourceId;relationshipOfResource;typeStatus;eventTime;maximumElevationInMeters;minimumElevationInMeters;verbatimDepth;dynamicProperties;nodeId;institutionCode;collectionCode;popularNames;associatedReferences;hasErrors;blocked;qualityIssue
urn:uuid:c496aec7-b094-42e8-92b7-58b7e0b23042;Birdlife Norge;so2-birds hos Norsk Ornitologisk Forening;LC;185969;Acanthis flammea;(Linnaeus, 1758);gråsisik;Fugler;Håvar Hveding;02.08.2020 00:00:00;Kleivvatnet, Andøy, No;300;Andøy;Nordland;5;HumanObservasjon;;True;25053220;69,307254;16,095034;543181;7689009;POINT (543181 7689009);species;;False;False;False;False;False;28.03.2021 12:39:27;;urn:uuid:c496aec7-b094-42e8-92b7-58b7e0b23042;;00000000-0000-0000-0000-000000000000;Validationstatus: Approved Documented;;;;;;;OR;;;;;;9.67/9.75;;;;"{""ValidationStatus"":""Approved Documented"",""EventDate"":""2020-08-02/2020-08-02"",""EventTime"":""09:40:00/09:45:00"",""Day"":""2"",""Month"":""8"",""Year"":""2020"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""5"",""IdentificationRemarks"":""Validator: Steve Baines""}";1010;NOF;so2-birds;"[{""Lang"":""nb-NO"",""Name"":""gråsisik""},{""Lang"":""nn-NO"",""Name"":""gråsisik""},{""Lang"":""se-NO"",""Name"":""upmolcizáš""}]";https://www.artsobservasjoner.no/Sighting/25053220;False;False;False
urn:uuid:193be543-450e-404b-9e10-2e4c1a6374da;Birdlife Norge;so2-birds hos Norsk Ornitologisk Forening;VU;3952;Podiceps auritus;(Linnaeus, 1758);horndykker;Fugler;Håvar Hveding;31.07.2020 00:00:00;Kleivvatnet, Andøy, No;300;Andøy;Nordland;17;HumanObservasjon;Validator: Steve Baines;True;25053213;69,307254;16,095034;543181;7689009;POINT (543181 7689009);species;feeding;False;False;False;False;False;10.03.2021 14:24:20;;urn:uuid:193be543-450e-404b-9e10-2e4c1a6374da;;00000000-0000-0000-0000-000000000000;Activity: Forage. Validationstatus: Approved Documented;;;;;;;OR;;;;;;18.17/18.58;;;;"{""Activity"":""Forage"",""ValidationStatus"":""Approved Documented"",""EventDate"":""2020-07-31/2020-07-31"",""EventTime"":""18:10:00/18:35:00"",""Day"":""31"",""Month"":""7"",""Year"":""2020"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""17""}";1010;NOF;so2-birds;"[{""Lang"":""nb-NO"",""Name"":""horndykker""},{""Lang"":""nn-NO"",""Name"":""horndukkar""},{""Lang"":""se-NO"",""Name"":""čáhppesbuokčá""}]";https://www.artsobservasjoner.no/Sighting/25053213;False;False;False
urn:uuid:aaeeca42-8b9b-4c79-8e83-7f2580191432;Birdlife Norge;so2-birds hos Norsk Ornitologisk Forening;VU;3681;Larus canus;Linnaeus, 1758;fiskemåke;Fugler;Håvar Hveding;02.08.2020 00:00:00;Kleivvatnet, Andøy, No;300;Andøy;Nordland;2;HumanObservasjon;;True;25053214;69,307254;16,095034;543181;7689009;POINT (543181 7689009);species;;False;False;False;False;False;18.03.2021 15:49:54;;urn:uuid:aaeeca42-8b9b-4c79-8e83-7f2580191432;;00000000-0000-0000-0000-000000000000;Validationstatus: Approved Documented;;;;;;;OR;;;;;;9.67/9.75;;;;"{""ValidationStatus"":""Approved Documented"",""EventDate"":""2020-08-02/2020-08-02"",""EventTime"":""09:40:00/09:45:00"",""Day"":""2"",""Month"":""8"",""Year"":""2020"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""2"",""IdentificationRemarks"":""Validator: Steve Baines""}";1010;NOF;so2-birds;"[{""Lang"":""nb-NO"",""Name"":""fiskemåke""},{""Lang"":""nn-NO"",""Name"":""fiskemåse""},{""Lang"":""se-NO"",""Name"":""báiski""}]";https://www.artsobservasjoner.no/Sighting/25053214;False;False;False
urn:uuid:be083f1a-43bc-4ce6-a934-d69da87f94dd;Birdlife Norge;so2-birds hos Norsk Ornitologisk Forening;LC;4164;Corvus cornix;Linnaeus, 1758;kråke;Fugler;Håvar Hveding;02.08.2020 00:00:00;Kleivvatnet, Andøy, No;300;Andøy;Nordland;1;HumanObservasjon;;True;25053216;69,307254;16,095034;543181;7689009;POINT (543181 7689009);species;;False;False;False;False;False;27.03.2021 17:14:18;;urn:uuid:be083f1a-43bc-4ce6-a934-d69da87f94dd;;00000000-0000-0000-0000-000000000000;Validationstatus: Approved Documented;;;;;;;OR;;;;;;9.67/9.75;;;;"{""ValidationStatus"":""Approved Documented"",""EventDate"":""2020-08-02/2020-08-02"",""EventTime"":""09:40:00/09:45:00"",""Day"":""2"",""Month"":""8"",""Year"":""2020"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""1"",""IdentificationRemarks"":""Validator: Steve Baines""}";1010;NOF;so2-birds;"[{""Lang"":""nb-NO"",""Name"":""kråke""},{""Lang"":""nn-NO"",""Name"":""kråke""},{""Lang"":""se-NO"",""Name"":""garjá""}]";https://www.artsobservasjoner.no/Sighting/25053216;False;False;False
urn:uuid:aeeb08e8-3a27-4b5c-869d-79ead9d712fe;Birdlife Norge;so2-birds hos Norsk Ornitologisk Forening;NT;3664;Haematopus ostralegus;Linnaeus, 1758;tjeld;Fugler;Håvar Hveding;02.08.2020 00:00:00;Haugnessanden, Andøy, No;500;Andøy;Nordland;12;HumanObservasjon;Validator: Steve Baines;True;25053195;69,31125;16,136563;544810;7689484;POINT (544810 7689484);species;;False;False;False;False;False;14.03.2021 10:54:54;;urn:uuid:aeeb08e8-3a27-4b5c-869d-79ead9d712fe;;00000000-0000-0000-0000-000000000000;Validationstatus: Approved Documented;;;;;;;;;;;;;9.25/9.58;;;;"{""ValidationStatus"":""Approved Documented"",""EventDate"":""2020-08-02/2020-08-02"",""EventTime"":""09:15:00/09:35:00"",""Day"":""2"",""Month"":""8"",""Year"":""2020"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""12""}";1010;NOF;so2-birds;"[{""Lang"":""nb-NO"",""Name"":""tjeld""},{""Lang"":""nn-NO"",""Name"":""tjeld""},{""Lang"":""se-NO"",""Name"":""cagan""}]";https://www.artsobservasjoner.no/Sighting/25053195;False;False;False
urn:uuid:95821c97-165d-434b-a4d7-b087f8491154;Birdlife Norge;so2-birds hos Norsk Ornitologisk Forening;LC;4183;Pica pica;(Linnaeus, 1758);skjære;Fugler;Håvar Hveding;02.08.2020 00:00:00;Haugnessanden, Andøy, No;500;Andøy;Nordland;2;HumanObservasjon;;True;25053202;69,31125;16,136563;544810;7689484;POINT (544810 7689484);species;;False;False;False;False;False;27.03.2021 16:09:09;;urn:uuid:95821c97-165d-434b-a4d7-b087f8491154;;00000000-0000-0000-0000-000000000000;Validationstatus: Approved Documented;;;;;;;;;;;;;9.25/9.58;;;;"{""ValidationStatus"":""Approved Documented"",""EventDate"":""2020-08-02/2020-08-02"",""EventTime"":""09:15:00/09:35:00"",""Day"":""2"",""Month"":""8"",""Year"":""2020"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""2"",""IdentificationRemarks"":""Validator: Steve Baines""}";1010;NOF;so2-birds;"[{""Lang"":""nb-NO"",""Name"":""skjære""},{""Lang"":""nn-NO"",""Name"":""skjor""},{""Lang"":""se-NO"",""Name"":""skire""}]";https://www.artsobservasjoner.no/Sighting/25053202;False;False;False
urn:uuid:07394cd8-3778-4f37-92af-9bd7f83073c3;Birdlife Norge;so2-birds hos Norsk Ornitologisk Forening;NT;4397;Passer domesticus;(Linnaeus, 1758);gråspurv;Fugler;Håvar Hveding;02.08.2020 00:00:00;Haugnessanden, Andøy, No;500;Andøy;Nordland;4;HumanObservasjon;;True;25053205;69,31125;16,136563;544810;7689484;POINT (544810 7689484);species;;False;False;False;False;False;28.03.2021 09:36:16;;urn:uuid:07394cd8-3778-4f37-92af-9bd7f83073c3;;00000000-0000-0000-0000-000000000000;Validationstatus: Approved Documented;;;;;;;;;;;;;9.25/9.58;;;;"{""ValidationStatus"":""Approved Documented"",""EventDate"":""2020-08-02/2020-08-02"",""EventTime"":""09:15:00/09:35:00"",""Day"":""2"",""Month"":""8"",""Year"":""2020"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""4"",""IdentificationRemarks"":""Validator: Steve Baines""}";1010;NOF;so2-birds;"[{""Lang"":""nb-NO"",""Name"":""gråspurv""},{""Lang"":""nn-NO"",""Name"":""gråsporv""},{""Lang"":""se-NO"",""Name"":""ránescihci""}]";https://www.artsobservasjoner.no/Sighting/25053205;False;False;False
urn:uuid:934ab73f-ad7c-49ad-ab6e-25198b0de8e6;Birdlife Norge;so2-birds hos Norsk Ornitologisk Forening;LC;185969;Acanthis flammea;(Linnaeus, 1758);gråsisik;Fugler;Håvar Hveding;31.07.2020 00:00:00;Kleivvatnet, Andøy, No;300;Andøy;Nordland;1;HumanObservasjon;;True;25053184;69,307254;16,095034;543181;7689009;POINT (543181 7689009);species;;False;False;False;False;False;28.03.2021 12:39:27;;urn:uuid:934ab73f-ad7c-49ad-ab6e-25198b0de8e6;;00000000-0000-0000-0000-000000000000;Validationstatus: Approved Documented;;;;;;;OR;;;;;;18.17/18.58;;;;"{""ValidationStatus"":""Approved Documented"",""EventDate"":""2020-07-31/2020-07-31"",""EventTime"":""18:10:00/18:35:00"",""Day"":""31"",""Month"":""7"",""Year"":""2020"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""1"",""IdentificationRemarks"":""Validator: Steve Baines""}";1010;NOF;so2-birds;"[{""Lang"":""nb-NO"",""Name"":""gråsisik""},{""Lang"":""nn-NO"",""Name"":""gråsisik""},{""Lang"":""se-NO"",""Name"":""upmolcizáš""}]";https://www.artsobservasjoner.no/Sighting/25053184;False;False;False
urn:uuid:997a1b5a-5d45-44d8-93c3-0ac80b95aac0;Birdlife Norge;so2-birds hos Norsk Ornitologisk Forening;NE;3731;Calidris alba;(Pallas, 1764);sandløper;Fugler;Håvar Hveding;31.07.2020 00:00:00;Haugnessanden, Andøy, No;500;Andøy;Nordland;1;HumanObservasjon;Validator: Steve Baines;True;25053187;69,31125;16,136563;544810;7689484;POINT (544810 7689484);species;feeding;False;False;False;False;False;14.03.2021 23:21:02;;urn:uuid:997a1b5a-5d45-44d8-93c3-0ac80b95aac0;;00000000-0000-0000-0000-000000000000;Activity: Forage. Validationstatus: Approved Documented;;;;;;;;;;;;;18.83/19.08;;;;"{""Activity"":""Forage"",""ValidationStatus"":""Approved Documented"",""EventDate"":""2020-07-31/2020-07-31"",""EventTime"":""18:50:00/19:05:00"",""Day"":""31"",""Month"":""7"",""Year"":""2020"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""1""}";1010;NOF;so2-birds;"[{""Lang"":""nb-NO"",""Name"":""sandløper""},{""Lang"":""nn-NO"",""Name"":""sandløpar""},{""Lang"":""se-NO"",""Name"":""vilgesviroš""}]";https://www.artsobservasjoner.no/Sighting/25053187;False;False;False
urn:uuid:a0c3c35a-d298-482a-9524-62ca5109a8e8;Birdlife Norge;so2-birds hos Norsk Ornitologisk Forening;VU;3677;Larus argentatus;Pontoppidan, 1763;gråmåke;Fugler;Håvar Hveding;31.07.2020 00:00:00;Haugnessanden, Andøy, No;500;Andøy;Nordland;15;HumanObservasjon;;True;25053190;69,31125;16,136563;544810;7689484;POINT (544810 7689484);species;;False;False;False;False;False;18.03.2021 16:19:56;;urn:uuid:a0c3c35a-d298-482a-9524-62ca5109a8e8;;00000000-0000-0000-0000-000000000000;Validationstatus: Approved Documented;;;;;;;;;;;;;18.83/19.08;;;;"{""ValidationStatus"":""Approved Documented"",""EventDate"":""2020-07-31/2020-07-31"",""EventTime"":""18:50:00/19:05:00"",""Day"":""31"",""Month"":""7"",""Year"":""2020"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""15"",""IdentificationRemarks"":""Validator: Steve Baines""}";1010;NOF;so2-birds;"[{""Lang"":""nb-NO"",""Name"":""gråmåke""},{""Lang"":""nn-NO"",""Name"":""gråmåse""},{""Lang"":""se-NO"",""Name"":""skávli""}]";https://www.artsobservasjoner.no/Sighting/25053190;False;False;False
urn:uuid:57f46cf0-d0da-47d5-86eb-691312b19d8f;Birdlife Norge;so2-birds hos Norsk Ornitologisk Forening;LC;4164;Corvus cornix;Linnaeus, 1758;kråke;Fugler;Håvar Hveding;31.07.2020 00:00:00;Haugnessanden, Andøy, No;500;Andøy;Nordland;2;HumanObservasjon;;True;25053194;69,31125;16,136563;544810;7689484;POINT (544810 7689484);species;;False;False;False;False;False;27.03.2021 17:14:18;;urn:uuid:57f46cf0-d0da-47d5-86eb-691312b19d8f;;00000000-0000-0000-0000-000000000000;Validationstatus: Approved Documented;;;;;;;;;;;;;18.83/19.08;;;;"{""ValidationStatus"":""Approved Documented"",""EventDate"":""2020-07-31/2020-07-31"",""EventTime"":""18:50:00/19:05:00"",""Day"":""31"",""Month"":""7"",""Year"":""2020"",""ContinentOcean"":""Europe"",""OrganismQuantity"":""2"",""IdentificationRemarks"":""Validator: Steve Baines""}";1010;NOF;so2-birds;"[{""Lang"":""nb-NO"",""Name"":""kråke""},{""Lang"":""nn-NO"",""Name"":""kråke""},{""Lang"":""se-NO"",""Name"":""garjá""}]";https://www.artsobservasjoner.no/Sighting/25053194;False;False;False
